supplier,temperature_k,leak_rate,he_loss_g_year
Meca Inox (HDPE),4,9.999999999999999e-11,0.00018989879243931193
Meca Inox (HDPE),4,1.1231045018329516e-10,0.00021327618868123254
Meca Inox (HDPE),4,1.2613637220374422e-10,0.00023953144764166627
Meca Inox (HDPE),4,1.4166432746690192e-10,0.00026901884717691927
Meca Inox (HDPE),4,1.59103843927215e-10,0.00030213627834230883
Meca Inox (HDPE),4,1.786902433735825e-10,0.00033933061437330076
Meca Inox (HDPE),4,2.0068781676649705e-10,0.0003811037406123969
Meca Inox (HDPE),4,2.2539339047347936e-10,0.0004280193267471605
Meca Inox (HDPE),4,2.5314033152415694e-10,0.00048071043274124493
Meca Inox (HDPE),4,2.843030459302665e-10,0.0005398880510897585
Meca Inox (HDPE),4,3.193020307691027e-10,0.0006063507006647264
Meca Inox (HDPE),4,3.586095482011829e-10,0.0006809952016061185
Meca Inox (HDPE),4,4.027559979850293e-10,0.0007648287766504701
Meca Inox (HDPE),4,4.5233707447720966e-10,0.0008589826421875323
Meca Inox (HDPE),4,5.080218046913012e-10,0.0009647272724371809
Meca Inox (HDPE),4,5.705615758781032e-10,0.0010834895427152265
Meca Inox (HDPE),4,6.408002744416009e-10,0.001216871983112397
Meca Inox (HDPE),4,7.196856730011528e-10,0.0013666744023879244
Meca Inox (HDPE),4,8.082822192522722e-10,0.0015349181738617368
Meca Inox (HDPE),4,9.077853991937559e-10,0.0017238735110093298
Meca Inox (HDPE),4,1.0195378685327303e-09,0.0019360901008051545
Meca Inox (HDPE),4,1.1450475699382812e-09,0.002174431508168482
Meca Inox (HDPE),4,1.286008080610565e-09,0.002442113815751436
Meca Inox (HDPE),4,1.4443214647272788e-09,0.0027427490204588855
Meca Inox (HDPE),4,1.6221239391291694e-09,0.0030803937722752926
Meca Inox (HDPE),4,1.8218146985669712e-09,0.0034596041130605694
Meca Inox (HDPE),4,2.046088289466015e-09,0.0038854969539381355
Meca Inox (HDPE),4,2.297970969046965e-09,0.004363819120826141
Meca Inox (HDPE),4,2.5808615404180765e-09,0.004901024899784552
Meca Inox (HDPE),4,2.8985772146510677e-09,0.005504363128543421
Meca Inox (HDPE),4,3.255405118685032e-09,0.006181975009390426
Meca Inox (HDPE),4,3.6561601440851937e-09,0.006943003963265191
Meca Inox (HDPE),4,4.106249917244294e-09,0.00779771900738716
Meca Inox (HDPE),4,4.611747767708251e-09,0.008757653321224895
Meca Inox (HDPE),4,5.179474679231223e-09,0.00983575987056002
Meca Inox (HDPE),4,5.817091329374369e-09,0.011046586189573845
Meca Inox (HDPE),4,6.533201459593783e-09,0.012406470679396096
Meca Inox (HDPE),4,7.337467970651389e-09,0.013933763071888275
Meca Inox (HDPE),4,8.240743309893666e-09,0.015649072033511457
Meca Inox (HDPE),4,9.255215909791354e-09,0.01757554325034486
Meca Inox (HDPE),4,1.0394574653722626e-08,0.019739171746622063
Meca Inox (HDPE),4,1.1674193588234575e-08,0.022169152651085038
Meca Inox (HDPE),4,1.311133937421563e-08,0.02489827514425552
Meca Inox (HDPE),4,1.4725404276241208e-08,0.02796336490238886
Meca Inox (HDPE),4,1.653816783395673e-08,0.03140578100827054
Meca Inox (HDPE),4,1.8574090746385717e-08,0.03527197403396846
Meca Inox (HDPE),4,2.0860644934719607e-08,0.03961411282608503
Meca Inox (HDPE),4,2.3428684237322352e-08,0.04449078845109457
Meca Inox (HDPE),4,2.6312860738959445e-08,0.049967804799521794
Meca Inox (HDPE),4,2.955209235202888e-08,0.0561190665170531
Meca Inox (HDPE),4,3.319008795914677e-08,0.0630275762439652
