supplier,pressure_bar,temperature_k,he_loss_g_year
Meca Inox (HDPE),1,4,0.0037979758487862382
Meca Inox (HDPE),1,6,0.0025319838991908258
Meca Inox (HDPE),1,8,0.0018989879243931191
Meca Inox (HDPE),1,12,0.0012659919495954129
Meca Inox (HDPE),1,20,0.0007595951697572478
Meca Inox (HDPE),1,40,0.0003797975848786239
Meca Inox (HDPE),1,80,0.00018989879243931195
Meca Inox (HDPE),1,120,0.0001265991949595413
Meca Inox (HDPE),1,200,7.595951697572478e-05
Meca Inox (HDPE),1,300,5.0639677983816516e-05
Meca Inox (HDPE),5,4,0.018989879243931192
Meca Inox (HDPE),5,6,0.012659919495954129
Meca Inox (HDPE),5,8,0.009494939621965596
Meca Inox (HDPE),5,12,0.006329959747977064
Meca Inox (HDPE),5,20,0.0037979758487862382
Meca Inox (HDPE),5,40,0.0018989879243931191
Meca Inox (HDPE),5,80,0.0009494939621965596
Meca Inox (HDPE),5,120,0.0006329959747977064
Meca Inox (HDPE),5,200,0.0003797975848786239
Meca Inox (HDPE),5,300,0.0002531983899190826
Meca Inox (HDPE),12,4,0.045575710185434874
Meca Inox (HDPE),12,6,0.030383806790289913
Meca Inox (HDPE),12,8,0.022787855092717437
Meca Inox (HDPE),12,12,0.015191903395144956
Meca Inox (HDPE),12,20,0.009115142037086976
Meca Inox (HDPE),12,40,0.004557571018543488
Meca Inox (HDPE),12,80,0.002278785509271744
Meca Inox (HDPE),12,120,0.0015191903395144956
Meca Inox (HDPE),12,200,0.0009115142037086975
Meca Inox (HDPE),12,300,0.0006076761358057983
Swagelok SS-42GSE (UHMWPE),1,4,0.00037979758487862396
Swagelok SS-42GSE (UHMWPE),1,6,0.00025319838991908264
Swagelok SS-42GSE (UHMWPE),1,8,0.00018989879243931198
Swagelok SS-42GSE (UHMWPE),1,12,0.00012659919495954132
Swagelok SS-42GSE (UHMWPE),1,20,7.59595169757248e-05
Swagelok SS-42GSE (UHMWPE),1,40,3.79797584878624e-05
Swagelok SS-42GSE (UHMWPE),1,80,1.89898792439312e-05
Swagelok SS-42GSE (UHMWPE),1,120,1.265991949595413e-05
Swagelok SS-42GSE (UHMWPE),1,200,7.5959516975724784e-06
Swagelok SS-42GSE (UHMWPE),1,300,5.063967798381652e-06
Swagelok SS-42GSE (UHMWPE),5,4,0.0018989879243931195
Swagelok SS-42GSE (UHMWPE),5,6,0.0012659919495954133
Swagelok SS-42GSE (UHMWPE),5,8,0.0009494939621965598
Swagelok SS-42GSE (UHMWPE),5,12,0.0006329959747977067
Swagelok SS-42GSE (UHMWPE),5,20,0.000379797584878624
Swagelok SS-42GSE (UHMWPE),5,40,0.000189898792439312
Swagelok SS-42GSE (UHMWPE),5,80,9.4949396219656e-05
Swagelok SS-42GSE (UHMWPE),5,120,6.329959747977066e-05
Swagelok SS-42GSE (UHMWPE),5,200,3.7979758487862406e-05
Swagelok SS-42GSE (UHMWPE),5,300,2.531983899190826e-05
Swagelok SS-42GSE (UHMWPE),12,4,0.004557571018543488
Swagelok SS-42GSE (UHMWPE),12,6,0.0030383806790289917
Swagelok SS-42GSE (UHMWPE),12,8,0.002278785509271744
Swagelok SS-42GSE (UHMWPE),12,12,0.0015191903395144959
Swagelok SS-42GSE (UHMWPE),12,20,0.0009115142037086975
Swagelok SS-42GSE (UHMWPE),12,40,0.00045575710185434873
Swagelok SS-42GSE (UHMWPE),12,80,0.00022787855092717437
Swagelok SS-42GSE (UHMWPE),12,120,0.0001519190339514496
Swagelok SS-42GSE (UHMWPE),12,200,9.115142037086975e-05
Swagelok SS-42GSE (UHMWPE),12,300,6.076761358057983e-05
