day,Q=1e-09,Q=1e-08,Q=1e-05,Q=1e-04
0,5000.0,5000.0,5000.0,5000.0
1,4999.999999992116,4999.999999921155,4999.999921154683,4999.999211546833
2,4999.999999984231,4999.999999842309,4999.999842309367,4999.998423093666
3,4999.999999976347,4999.999999763464,4999.9997634640495,4999.997634640498
4,4999.999999968461,4999.999999684619,4999.999684618733,4999.996846187331
5,4999.999999960577,4999.999999605773,4999.999605773416,4999.996057734164
6,4999.999999952693,4999.999999526928,4999.9995269281,4999.9952692809975
7,4999.999999944808,4999.999999448083,4999.999448082783,4999.994480827831
8,4999.999999936924,4999.999999369237,4999.999369237466,4999.993692374663
9,4999.999999929039,4999.999999290392,4999.999290392149,4999.992903921496
10,4999.999999921155,4999.999999211547,4999.999211546833,4999.992115468329
11,4999.999999913271,4999.999999132701,4999.999132701516,4999.991327015162
12,4999.999999905385,4999.999999053856,4999.9990538562,4999.990538561994
13,4999.999999897501,4999.999998975011,4999.9989750108825,4999.989750108827
14,4999.999999889616,4999.999998896165,4999.998896165566,4999.98896165566
15,4999.999999881732,4999.99999881732,4999.998817320249,4999.988173202493
16,4999.999999873848,4999.999998738475,4999.998738474933,4999.987384749326
17,4999.999999865963,4999.9999986596295,4999.998659629616,4999.9865962961585
18,4999.999999858079,4999.999998580784,4999.9985807842995,4999.985807842992
19,4999.9999998501935,4999.9999985019385,4999.998501938982,4999.985019389825
20,4999.999999842309,4999.9999984230935,4999.998423093666,4999.984230936658
21,4999.999999834425,4999.9999983442485,4999.998344248349,4999.983442483491
22,4999.99999982654,4999.999998265403,4999.998265403033,4999.982654030323
23,4999.999999818656,4999.999998186558,4999.998186557716,4999.981865577156
24,4999.999999810771,4999.999998107713,4999.998107712398,4999.981077123989
25,4999.999999802887,4999.999998028867,4999.998028867082,4999.980288670822
26,4999.999999795003,4999.999997950022,4999.997950021765,4999.979500217655
27,4999.999999787117,4999.999997871177,4999.997871176449,4999.978711764487
28,4999.999999779233,4999.999997792331,4999.997792331132,4999.97792331132
29,4999.9999997713485,4999.999997713486,4999.997713485815,4999.9771348581535
30,4999.999999763464,4999.999997634641,4999.997634640498,4999.9763464049865
31,4999.99999975558,4999.999997555795,4999.997555795182,4999.975557951819
32,4999.999999747695,4999.99999747695,4999.997476949865,4999.974769498652
33,4999.999999739811,4999.999997398105,4999.997398104549,4999.973981045485
34,4999.9999997319255,4999.999997319259,4999.9973192592315,4999.973192592318
35,4999.999999724041,4999.999997240414,4999.997240413915,4999.972404139151
36,4999.999999716157,4999.999997161569,4999.997161568598,4999.971615685983
37,4999.999999708272,4999.999997082723,4999.997082723282,4999.970827232816
38,4999.999999700388,4999.999997003878,4999.997003877965,4999.970038779649
39,4999.9999996925035,4999.999996925033,4999.9969250326485,4999.969250326482
40,4999.999999684619,4999.999996846187,4999.996846187331,4999.968461873315
41,4999.999999676734,4999.999996767342,4999.996767342015,4999.967673420148
42,4999.999999668849,4999.999996688497,4999.996688496698,4999.966884966981
43,4999.999999660965,4999.999996609651,4999.996609651382,4999.966096513814
44,4999.9999996530805,4999.999996530806,4999.996530806065,4999.965308060647
45,4999.999999645196,4999.999996451961,4999.996451960748,4999.964519607479
46,4999.999999637312,4999.999996373115,4999.996373115431,4999.963731154312
47,4999.999999629427,4999.99999629427,4999.996294270115,4999.962942701145
48,4999.999999621543,4999.999996215425,4999.996215424798,4999.962154247978
49,4999.999999613658,4999.999996136579,4999.996136579481,4999.961365794811
50,4999.999999605773,4999.999996057734,4999.996057734164,4999.960577341643
51,4999.999999597889,4999.999995978889,4999.995978888847,4999.959788888476
52,4999.999999590004,4999.999995900043,4999.995900043531,4999.9590004353095
53,4999.99999958212,4999.999995821198,4999.995821198214,4999.9582119821425
54,4999.9999995742355,4999.999995742353,4999.995742352898,4999.957423528976
55,4999.999999566351,4999.999995663507,4999.9956635075805,4999.956635075808
56,4999.999999558466,4999.999995584662,4999.995584662264,4999.955846622641
57,4999.999999550581,4999.9999955058165,4999.995505816947,4999.955058169474
58,4999.999999542697,4999.9999954269715,4999.995426971631,4999.954269716307
59,4999.999999534813,4999.9999953481265,4999.995348126314,4999.95348126314
60,4999.999999526928,4999.999995269281,4999.9952692809975,4999.952692809972
61,4999.999999519044,4999.999995190436,4999.99519043568,4999.951904356805
62,4999.999999511159,4999.999995111591,4999.995111590364,4999.951115903638
63,4999.999999503275,4999.999995032745,4999.995032745047,4999.950327450471
64,4999.99999949539,4999.9999949539,4999.994953899731,4999.9495389973035
65,4999.999999487505,4999.999994875055,4999.994875054414,4999.948750544137
66,4999.999999479621,4999.999994796209,4999.994796209097,4999.94796209097
67,4999.999999471736,4999.999994717364,4999.99471736378,4999.947173637803
68,4999.999999463852,4999.999994638519,4999.994638518464,4999.946385184636
69,4999.999999455968,4999.999994559673,4999.994559673147,4999.945596731468
70,4999.999999448083,4999.999994480828,4999.994480827831,4999.944808278301
71,4999.999999440198,4999.999994401983,4999.994401982513,4999.944019825134
72,4999.999999432313,4999.999994323137,4999.994323137196,4999.943231371967
73,4999.999999424429,4999.999994244292,4999.99424429188,4999.9424429188
74,4999.999999416545,4999.999994165447,4999.994165446563,4999.941654465632
75,4999.99999940866,4999.999994086601,4999.994086601247,4999.940866012465
76,4999.999999400776,4999.999994007756,4999.9940077559295,4999.9400775592985
77,4999.999999392891,4999.999993928911,4999.993928910613,4999.939289106132
78,4999.999999385007,4999.999993850065,4999.993850065296,4999.938500652965
79,4999.999999377122,4999.99999377122,4999.99377121998,4999.937712199797
80,4999.999999369237,4999.999993692375,4999.993692374663,4999.93692374663
81,4999.999999361353,4999.999993613529,4999.9936135293465,4999.936135293463
82,4999.999999353468,4999.999993534684,4999.993534684029,4999.935346840296
83,4999.999999345584,4999.999993455839,4999.993455838713,4999.934558387128
84,4999.9999993377,4999.999993376993,4999.993376993396,4999.933769933961
85,4999.999999329815,4999.999993298148,4999.99329814808,4999.932981480794
86,4999.99999932193,4999.999993219303,4999.993219302763,4999.932193027627
87,4999.999999314045,4999.999993140457,4999.993140457446,4999.93140457446
88,4999.999999306161,4999.999993061612,4999.993061612129,4999.930616121293
89,4999.999999298277,4999.999992982767,4999.992982766813,4999.929827668126
90,4999.999999290392,4999.999992903921,4999.992903921496,4999.929039214959
91,4999.999999282508,4999.999992825076,4999.9928250761795,4999.928250761792
92,4999.999999274623,4999.99999274623,4999.992746230862,4999.927462308625
93,4999.999999266739,4999.999992667385,4999.992667385546,4999.926673855457
94,4999.999999258854,4999.99999258854,4999.992588540229,4999.92588540229
95,4999.999999250969,4999.9999925096945,4999.992509694912,4999.925096949123
96,4999.999999243085,4999.9999924308495,4999.992430849596,4999.924308495956
97,4999.9999992352,4999.9999923520045,4999.9923520042785,4999.923520042789
98,4999.999999227316,4999.999992273159,4999.992273158962,4999.922731589621
99,4999.999999219432,4999.999992194314,4999.992194313645,4999.9219431364545
100,4999.999999211547,4999.999992115469,4999.992115468329,4999.921154683288
101,4999.999999203662,4999.999992036623,4999.992036623012,4999.920366230121
102,4999.9999991957775,4999.999991957778,4999.9919577776955,4999.919577776953
103,4999.999999187893,4999.999991878933,4999.991878932378,4999.918789323786
104,4999.999999180009,4999.999991800087,4999.991800087062,4999.918000870619
105,4999.999999172124,4999.999991721242,4999.991721241745,4999.917212417452
106,4999.99999916424,4999.999991642397,4999.991642396429,4999.916423964285
107,4999.999999156355,4999.999991563551,4999.9915635511115,4999.915635511117
108,4999.999999148471,4999.999991484706,4999.991484705795,4999.91484705795
109,4999.999999140586,4999.999991405861,4999.991405860478,4999.914058604783
110,4999.999999132701,4999.999991327015,4999.991327015162,4999.913270151616
111,4999.999999124817,4999.99999124817,4999.991248169845,4999.9124816984495
112,4999.9999991169325,4999.999991169325,4999.9911693245285,4999.911693245282
