supplier,temperature_k,size,pressure_bar,he_loss_kg_year
Meca Inox (HDPE),4,DN06,1,3.038380679028991e-06
Meca Inox (HDPE),4,DN06,2,6.076761358057982e-06
Meca Inox (HDPE),4,DN06,3,9.115142037086975e-06
Meca Inox (HDPE),4,DN06,4,1.2153522716115963e-05
Meca Inox (HDPE),4,DN06,5,1.5191903395144955e-05
Meca Inox (HDPE),4,DN06,6,1.823028407417395e-05
Meca Inox (HDPE),4,DN06,7,2.126866475320294e-05
Meca Inox (HDPE),4,DN06,8,2.4307045432231927e-05
Meca Inox (HDPE),4,DN06,9,2.7345426111260927e-05
Meca Inox (HDPE),4,DN06,10,3.038380679028991e-05
Meca Inox (HDPE),4,DN06,11,3.3422187469318904e-05
Meca Inox (HDPE),4,DN06,12,3.64605681483479e-05
Meca Inox (HDPE),4,DN12,1,3.7979758487862384e-06
Meca Inox (HDPE),4,DN12,2,7.595951697572477e-06
Meca Inox (HDPE),4,DN12,3,1.139392754635872e-05
Meca Inox (HDPE),4,DN12,4,1.5191903395144953e-05
Meca Inox (HDPE),4,DN12,5,1.8989879243931193e-05
Meca Inox (HDPE),4,DN12,6,2.278785509271744e-05
Meca Inox (HDPE),4,DN12,7,2.6585830941503675e-05
Meca Inox (HDPE),4,DN12,8,3.0383806790289907e-05
Meca Inox (HDPE),4,DN12,9,3.4181782639076156e-05
Meca Inox (HDPE),4,DN12,10,3.7979758487862385e-05
Meca Inox (HDPE),4,DN12,11,4.177773433664863e-05
Meca Inox (HDPE),4,DN12,12,4.557571018543488e-05
Meca Inox (HDPE),4,DN25,1,4.747469810982798e-06
Meca Inox (HDPE),4,DN25,2,9.494939621965596e-06
Meca Inox (HDPE),4,DN25,3,1.42424094329484e-05
Meca Inox (HDPE),4,DN25,4,1.8989879243931193e-05
Meca Inox (HDPE),4,DN25,5,2.373734905491399e-05
Meca Inox (HDPE),4,DN25,6,2.84848188658968e-05
Meca Inox (HDPE),4,DN25,7,3.323228867687959e-05
Meca Inox (HDPE),4,DN25,8,3.7979758487862385e-05
Meca Inox (HDPE),4,DN25,9,4.2727228298845194e-05
Meca Inox (HDPE),4,DN25,10,4.747469810982798e-05
Meca Inox (HDPE),4,DN25,11,5.222216792081078e-05
Meca Inox (HDPE),4,DN25,12,5.69696377317936e-05
Meca Inox (HDPE),4,DN50,1,6.076761358057982e-06
Meca Inox (HDPE),4,DN50,2,1.2153522716115963e-05
Meca Inox (HDPE),4,DN50,3,1.823028407417395e-05
Meca Inox (HDPE),4,DN50,4,2.4307045432231927e-05
Meca Inox (HDPE),4,DN50,5,3.038380679028991e-05
Meca Inox (HDPE),4,DN50,6,3.64605681483479e-05
Meca Inox (HDPE),4,DN50,7,4.253732950640588e-05
Meca Inox (HDPE),4,DN50,8,4.8614090864463854e-05
Meca Inox (HDPE),4,DN50,9,5.4690852222521854e-05
Meca Inox (HDPE),4,DN50,10,6.076761358057982e-05
Meca Inox (HDPE),4,DN50,11,6.684437493863781e-05
Meca Inox (HDPE),4,DN50,12,7.29211362966958e-05
Meca Inox (HDPE),20,DN06,1,6.076761358057983e-07
Meca Inox (HDPE),20,DN06,2,1.2153522716115966e-06
Meca Inox (HDPE),20,DN06,3,1.8230284074173952e-06
Meca Inox (HDPE),20,DN06,4,2.430704543223193e-06
Meca Inox (HDPE),20,DN06,5,3.038380679028991e-06
Meca Inox (HDPE),20,DN06,6,3.6460568148347903e-06
Meca Inox (HDPE),20,DN06,7,4.253732950640587e-06
Meca Inox (HDPE),20,DN06,8,4.861409086446386e-06
Meca Inox (HDPE),20,DN06,9,5.469085222252185e-06
Meca Inox (HDPE),20,DN06,10,6.076761358057982e-06
Meca Inox (HDPE),20,DN06,11,6.68443749386378e-06
Meca Inox (HDPE),20,DN06,12,7.292113629669581e-06
Meca Inox (HDPE),20,DN12,1,7.595951697572478e-07
Meca Inox (HDPE),20,DN12,2,1.5191903395144956e-06
Meca Inox (HDPE),20,DN12,3,2.2787855092717438e-06
Meca Inox (HDPE),20,DN12,4,3.0383806790289913e-06
Meca Inox (HDPE),20,DN12,5,3.7979758487862384e-06
Meca Inox (HDPE),20,DN12,6,4.5575710185434876e-06
Meca Inox (HDPE),20,DN12,7,5.317166188300734e-06
Meca Inox (HDPE),20,DN12,8,6.076761358057983e-06
Meca Inox (HDPE),20,DN12,9,6.836356527815231e-06
Meca Inox (HDPE),20,DN12,10,7.595951697572477e-06
Meca Inox (HDPE),20,DN12,11,8.355546867329724e-06
Meca Inox (HDPE),20,DN12,12,9.115142037086975e-06
Meca Inox (HDPE),20,DN25,1,9.494939621965598e-07
Meca Inox (HDPE),20,DN25,2,1.8989879243931196e-06
Meca Inox (HDPE),20,DN25,3,2.84848188658968e-06
Meca Inox (HDPE),20,DN25,4,3.7979758487862392e-06
Meca Inox (HDPE),20,DN25,5,4.747469810982798e-06
Meca Inox (HDPE),20,DN25,6,5.69696377317936e-06
Meca Inox (HDPE),20,DN25,7,6.646457735375918e-06
Meca Inox (HDPE),20,DN25,8,7.5959516975724784e-06
Meca Inox (HDPE),20,DN25,9,8.545445659769039e-06
Meca Inox (HDPE),20,DN25,10,9.494939621965596e-06
Meca Inox (HDPE),20,DN25,11,1.0444433584162155e-05
Meca Inox (HDPE),20,DN25,12,1.139392754635872e-05
Meca Inox (HDPE),20,DN50,1,1.2153522716115966e-06
Meca Inox (HDPE),20,DN50,2,2.430704543223193e-06
Meca Inox (HDPE),20,DN50,3,3.6460568148347903e-06
Meca Inox (HDPE),20,DN50,4,4.861409086446386e-06
Meca Inox (HDPE),20,DN50,5,6.076761358057982e-06
Meca Inox (HDPE),20,DN50,6,7.292113629669581e-06
Meca Inox (HDPE),20,DN50,7,8.507465901281174e-06
Meca Inox (HDPE),20,DN50,8,9.722818172892772e-06
Meca Inox (HDPE),20,DN50,9,1.093817044450437e-05
Meca Inox (HDPE),20,DN50,10,1.2153522716115963e-05
Meca Inox (HDPE),20,DN50,11,1.336887498772756e-05
Meca Inox (HDPE),20,DN50,12,1.4584227259339161e-05
Meca Inox (HDPE),80,DN06,1,1.5191903395144957e-07
Meca Inox (HDPE),80,DN06,2,3.0383806790289914e-07
Meca Inox (HDPE),80,DN06,3,4.557571018543488e-07
Meca Inox (HDPE),80,DN06,4,6.076761358057983e-07
Meca Inox (HDPE),80,DN06,5,7.595951697572477e-07
Meca Inox (HDPE),80,DN06,6,9.115142037086976e-07
Meca Inox (HDPE),80,DN06,7,1.0634332376601468e-06
Meca Inox (HDPE),80,DN06,8,1.2153522716115966e-06
Meca Inox (HDPE),80,DN06,9,1.3672713055630463e-06
Meca Inox (HDPE),80,DN06,10,1.5191903395144954e-06
Meca Inox (HDPE),80,DN06,11,1.671109373465945e-06
Meca Inox (HDPE),80,DN06,12,1.8230284074173952e-06
Meca Inox (HDPE),80,DN12,1,1.8989879243931196e-07
Meca Inox (HDPE),80,DN12,2,3.797975848786239e-07
Meca Inox (HDPE),80,DN12,3,5.696963773179359e-07
Meca Inox (HDPE),80,DN12,4,7.595951697572478e-07
Meca Inox (HDPE),80,DN12,5,9.494939621965596e-07
Meca Inox (HDPE),80,DN12,6,1.1393927546358719e-06
Meca Inox (HDPE),80,DN12,7,1.3292915470751836e-06
Meca Inox (HDPE),80,DN12,8,1.5191903395144956e-06
Meca Inox (HDPE),80,DN12,9,1.7090891319538077e-06
Meca Inox (HDPE),80,DN12,10,1.8989879243931192e-06
Meca Inox (HDPE),80,DN12,11,2.088886716832431e-06
Meca Inox (HDPE),80,DN12,12,2.2787855092717438e-06
Meca Inox (HDPE),80,DN25,1,2.3737349054913995e-07
Meca Inox (HDPE),80,DN25,2,4.747469810982799e-07
Meca Inox (HDPE),80,DN25,3,7.1212047164742e-07
Meca Inox (HDPE),80,DN25,4,9.494939621965598e-07
Meca Inox (HDPE),80,DN25,5,1.1868674527456995e-06
Meca Inox (HDPE),80,DN25,6,1.42424094329484e-06
Meca Inox (HDPE),80,DN25,7,1.6616144338439794e-06
Meca Inox (HDPE),80,DN25,8,1.8989879243931196e-06
Meca Inox (HDPE),80,DN25,9,2.1363614149422598e-06
Meca Inox (HDPE),80,DN25,10,2.373734905491399e-06
Meca Inox (HDPE),80,DN25,11,2.611108396040539e-06
Meca Inox (HDPE),80,DN25,12,2.84848188658968e-06
Meca Inox (HDPE),80,DN50,1,3.0383806790289914e-07
Meca Inox (HDPE),80,DN50,2,6.076761358057983e-07
Meca Inox (HDPE),80,DN50,3,9.115142037086976e-07
Meca Inox (HDPE),80,DN50,4,1.2153522716115966e-06
Meca Inox (HDPE),80,DN50,5,1.5191903395144954e-06
Meca Inox (HDPE),80,DN50,6,1.8230284074173952e-06
Meca Inox (HDPE),80,DN50,7,2.1268664753202936e-06
Meca Inox (HDPE),80,DN50,8,2.430704543223193e-06
Meca Inox (HDPE),80,DN50,9,2.7345426111260926e-06
Meca Inox (HDPE),80,DN50,10,3.038380679028991e-06
Meca Inox (HDPE),80,DN50,11,3.34221874693189e-06
