supplier,pressure_bar,loss_kg_year_50_valves
Meca Inox (HDPE),1,2.5319838991908257e-06
Meca Inox (HDPE),2,5.0639677983816514e-06
Meca Inox (HDPE),3,7.5959516975724784e-06
Meca Inox (HDPE),4,1.0127935596763303e-05
Meca Inox (HDPE),5,1.2659919495954129e-05
Meca Inox (HDPE),6,1.5191903395144957e-05
Meca Inox (HDPE),7,1.7723887294335783e-05
Meca Inox (HDPE),8,2.0255871193526606e-05
Meca Inox (HDPE),9,2.2787855092717435e-05
Meca Inox (HDPE),10,2.5319838991908258e-05
Meca Inox (HDPE),11,2.7851822891099084e-05
Meca Inox (HDPE),12,3.0383806790289914e-05
Swagelok SS-42GSE (UHMWPE),1,2.531983899190826e-07
Swagelok SS-42GSE (UHMWPE),2,5.063967798381653e-07
Swagelok SS-42GSE (UHMWPE),3,7.595951697572478e-07
Swagelok SS-42GSE (UHMWPE),4,1.0127935596763305e-06
Swagelok SS-42GSE (UHMWPE),5,1.265991949595413e-06
Swagelok SS-42GSE (UHMWPE),6,1.5191903395144956e-06
Swagelok SS-42GSE (UHMWPE),7,1.772388729433578e-06
Swagelok SS-42GSE (UHMWPE),8,2.025587119352661e-06
Swagelok SS-42GSE (UHMWPE),9,2.2787855092717438e-06
Swagelok SS-42GSE (UHMWPE),10,2.531983899190826e-06
Swagelok SS-42GSE (UHMWPE),11,2.785182289109909e-06
Swagelok SS-42GSE (UHMWPE),12,3.0383806790289913e-06
