supplier,temperature_k,loss_kg_year_50_valves
Meca Inox (HDPE),4,0.0009494939621965596
Meca Inox (HDPE),10,0.0003797975848786238
Meca Inox (HDPE),20,0.0001898987924393119
Meca Inox (HDPE),40,9.494939621965595e-05
Meca Inox (HDPE),80,4.7474698109827975e-05
Swagelok SS-42GSE (UHMWPE),4,9.494939621965598e-05
Swagelok SS-42GSE (UHMWPE),10,3.79797584878624e-05
Swagelok SS-42GSE (UHMWPE),20,1.89898792439312e-05
Swagelok SS-42GSE (UHMWPE),40,9.4949396219656e-06
Swagelok SS-42GSE (UHMWPE),80,4.7474698109828e-06
