valve_type,year,cumulative_cost_eur,replacements
Meca Inox,0,75000.0,0
Meca Inox,1,75000.00455757102,0
Meca Inox,2,75000.00911514203,0
Meca Inox,3,75000.01367271306,0
Meca Inox,4,75000.01823028407,0
Meca Inox,5,75000.0227878551,0
Meca Inox,6,75000.0273454261,0
Meca Inox,7,75000.03190299713,0
Meca Inox,8,75000.03646056815,0
Meca Inox,9,75000.04101813916,0
Meca Inox,10,75000.04557571019,0
Meca Inox,11,75000.0501332812,0
Meca Inox,12,75000.05469085222,1
Meca Inox,13,75000.05924842325,1
Meca Inox,14,75000.06380599426,1
Meca Inox,15,75000.06836356528,1
Meca Inox,16,75000.07292113629,1
Meca Inox,17,75000.07747870732,1
Meca Inox,18,75000.08203627833,1
Meca Inox,19,75000.08659384935,1
Meca Inox,20,75000.09115142038,1
Meca Inox,21,75000.09570899139,1
Meca Inox,22,75000.10026656241,1
Meca Inox,23,75000.10482413342,1
Meca Inox,24,75000.10938170445,2
Meca Inox,25,75000.11393927547,2
Meca Inox,26,75000.11849684648,2
Meca Inox,27,75000.1230544175,2
Meca Inox,28,75000.12761198852,2
Meca Inox,29,75000.13216955954,2
Meca Inox,30,75000.13672713055,2
Meca Inox,31,75000.14128470157,2
Meca Inox,32,75000.1458422726,2
Meca Inox,33,75000.15039984361,2
Meca Inox,34,75000.15495741463,2
Meca Inox,35,75000.15951498564,2
Meca Inox,36,75000.16407255667,3
Meca Inox,37,75000.1686301277,3
Meca Inox,38,75000.1731876987,3
Meca Inox,39,75000.17774526973,3
Meca Inox,40,75000.18230284074,3
Swagelok,0,110000.0,0
Swagelok,1,110000.00045575711,0
Swagelok,2,110000.0009115142,0
Swagelok,3,110000.00136727131,0
Swagelok,4,110000.0018230284,0
Swagelok,5,110000.00227878551,0
Swagelok,6,110000.0027345426,0
Swagelok,7,110000.00319029971,0
Swagelok,8,110000.00364605681,0
Swagelok,9,110000.00410181392,0
Swagelok,10,110000.00455757102,0
Swagelok,11,110000.00501332812,0
Swagelok,12,110000.00546908523,0
Swagelok,13,110000.00592484232,0
Swagelok,14,110000.00638059943,0
Swagelok,15,110000.00683635652,0
Swagelok,16,110000.00729211363,0
Swagelok,17,110000.00774787072,0
Swagelok,18,110000.00820362783,1
Swagelok,19,110000.00865938494,1
Swagelok,20,110000.00911514203,1
Swagelok,21,110000.00957089914,1
Swagelok,22,110000.01002665624,1
Swagelok,23,110000.01048241335,1
Swagelok,24,110000.01093817044,1
Swagelok,25,110000.01139392755,1
Swagelok,26,110000.01184968466,1
Swagelok,27,110000.01230544175,1
Swagelok,28,110000.01276119886,1
Swagelok,29,110000.01321695595,1
Swagelok,30,110000.01367271306,1
Swagelok,31,110000.01412847015,1
Swagelok,32,110000.01458422726,1
Swagelok,33,110000.01503998436,1
Swagelok,34,110000.01549574146,1
Swagelok,35,110000.01595149857,1
Swagelok,36,110000.01640725567,2
Swagelok,37,110000.01686301277,2
Swagelok,38,110000.01731876987,2
Swagelok,39,110000.01777452698,2
Swagelok,40,110000.01823028407,2
Bellow-sealed,0,240000.0,0
Bellow-sealed,1,240000.0000455757,0
Bellow-sealed,2,240000.00009115142,0
Bellow-sealed,3,240000.00013672712,0
Bellow-sealed,4,240000.00018230284,0
Bellow-sealed,5,240000.00022787854,0
Bellow-sealed,6,240000.00027345426,0
Bellow-sealed,7,240000.00031902996,0
Bellow-sealed,8,240000.0003646057,0
Bellow-sealed,9,240000.00041018138,0
Bellow-sealed,10,240000.0004557571,0
Bellow-sealed,11,240000.0005013328,0
Bellow-sealed,12,240000.00054690853,0
Bellow-sealed,13,240000.00059248423,0
Bellow-sealed,14,240000.00063805995,0
Bellow-sealed,15,240000.00068363565,0
Bellow-sealed,16,240000.00072921137,0
Bellow-sealed,17,240000.00077478707,0
Bellow-sealed,18,240000.0008203628,0
Bellow-sealed,19,240000.0008659385,0
Bellow-sealed,20,240000.00091151422,1
Bellow-sealed,21,240000.0009570899,1
Bellow-sealed,22,240000.00100266564,1
Bellow-sealed,23,240000.00104824133,1
Bellow-sealed,24,240000.00109381703,1
Bellow-sealed,25,240000.00113939276,1
Bellow-sealed,26,240000.00118496845,1
Bellow-sealed,27,240000.00123054418,1
Bellow-sealed,28,240000.00127611987,1
Bellow-sealed,29,240000.0013216956,1
Bellow-sealed,30,240000.0013672713,1
Bellow-sealed,31,240000.00141284702,1
Bellow-sealed,32,240000.00145842272,1
Bellow-sealed,33,240000.00150399844,1
Bellow-sealed,34,240000.00154957414,1
Bellow-sealed,35,240000.00159514986,1
Bellow-sealed,36,240000.00164072556,1
Bellow-sealed,37,240000.0016863013,1
Bellow-sealed,38,240000.00173187698,1
Bellow-sealed,39,240000.0017774527,1
Bellow-sealed,40,240000.0018230284,2
